duration,source_ip,destination_ip,syn_bit,ack_bit,fin_bit,packet_size,pps,sequence_number,is_attack
0.0915365219116211,192.168.1.17,54.210.196.203,True,False,False,66,721.0236812768928,2723056054,0
0.028383255004882812,54.210.196.203,192.168.1.17,False,True,False,60,2113.9224514481552,0,1
0.015041589736938477,54.210.196.203,192.168.1.17,False,True,False,60,3988.940068791707,0,1
0.07549405097961426,54.210.196.203,192.168.1.17,False,True,False,60,794.7646102101722,0,0
0.10726308822631836,54.210.196.203,192.168.1.17,False,True,False,60,559.3722965854179,0,0
0.029104948043823242,54.210.196.203,192.168.1.17,False,True,False,60,2061.505140282613,0,1
0.060929298400878906,54.210.196.203,192.168.1.17,False,True,False,60,984.7479221775267,0,0
0.014894962310791016,54.210.196.203,192.168.1.17,False,True,False,60,4028.20757435093,0,1
0.10592079162597656,54.210.196.203,192.168.1.17,False,True,False,60,566.4610231754092,0,0
0.015018463134765625,54.210.196.203,192.168.1.17,False,True,False,60,3995.0825501651,0,1
0.06067609786987305,54.210.196.203,192.168.1.17,False,True,False,60,988.8572618607905,0,0
0.06038403511047363,54.210.196.203,192.168.1.17,False,True,False,60,993.6401217677648,0,0
0.029321908950805664,54.210.196.203,192.168.1.17,False,True,False,60,2046.2514940846445,0,1
0.04195213317871094,54.210.196.203,192.168.1.17,False,True,False,60,1430.2014094112299,0,1
0.04641890525817871,54.210.196.203,192.168.1.17,False,True,False,60,1292.5767996096458,0,1
0.10816311836242676,54.210.196.203,192.168.1.17,False,True,False,60,554.7177347361181,0,0
0.07560253143310547,54.210.196.203,192.168.1.17,False,True,False,60,793.6242194891202,0,0
0.02882552146911621,54.210.196.203,192.168.1.17,False,True,False,60,2081.4887968040493,0,1
0.06223726272583008,54.210.196.203,192.168.1.17,False,True,False,60,964.0526811777415,0,0
0.06031513214111328,54.210.196.203,192.168.1.17,False,True,False,60,994.7752391493399,0,0
0.05949878692626953,54.210.196.203,192.168.1.17,False,True,False,60,1008.4239208834891,0,1
0.044928550720214844,54.210.196.203,192.168.1.17,False,True,False,60,1335.4537156927256,0,1
0.07702445983886719,192.168.1.17,54.210.196.203,True,False,False,66,856.8706633979644,964483570,0
0.10704660415649414,192.168.1.17,54.210.196.203,True,False,False,66,616.5538880945063,1979418512,0
0.02837538719177246,192.168.1.17,54.210.196.203,True,False,False,66,2325.959450489434,4212423508,1
0.04484128952026367,192.168.1.17,54.210.196.203,True,False,False,66,1471.857761141654,2396821681,1
0.05899643898010254,192.168.1.17,54.210.196.203,True,False,False,66,1118.7115890547143,2469838775,1
